Item,Description,Link,Quantity,Unit Price,Subtotal,Remarks,total
STM32U585CIU6Q,Main microcontroller,https://www.mouser.com/ProductDetail/STMicroelectronics/STM32U585CIU6Q?qs=DRkmTr78QARvYPKFvAP2GQ%3D%3D,1,$9.06,$9.06,,$106.72
STM32U073CCU6,Peripheral microcontroller,https://www.mouser.com/ProductDetail/STMicroelectronics/STM32U073CCU6?qs=dbcCsuKDzFWYiLl2zVopWA%3D%3D,1,$3.13,$3.13,,
AT25SF041B,External Flash,https://www.mouser.com/ProductDetail/Renesas-Dialog/AT25SF041B-SSHB-B?qs=IS%252B4QmGtzzpXYmyz2tD79g%3D%3D,1,$0.31,$0.31,,
104031-0811,Micro SD Connector,https://www.mouser.com/ProductDetail/Molex/104031-0811?qs=udsGRKD4nA3Tvy7wqky%252BuA%3D%3D,1,$1.94,$1.94,,
ECS-160-8-36B2-CKM-TR ,16mhz HSE Oscillator,https://www.mouser.com/ProductDetail/ECS/ECS-160-8-36B2-CKM-TR?qs=QNEnbhJQKvaIQPndV3OLHg%3D%3D,1,$0.29,$0.29,,
CM7V-T1A-32.768kHz-9pF-10PPM-TA-QC ,32.768 khz LSE Oscillator,https://www.mouser.com/ProductDetail/Micro-Crystal/CM7V-T1A-32.768kHz-9pF-10PPM-TA-QC?qs=7bTaA%2FLYtSbcWt4HcA5rHA%3D%3D,2,$0.48,$0.96,,
IRFR9014PBF,P channel FET,https://www.mouser.com/ProductDetail/Vishay-Semiconductors/IRFR9014PBF?qs=cvaI6ThkwxvO%2FgFkxCxkOw%3D%3D,1,$1.51,$1.51,,
MMBT2222A-TP,NPN BJT,https://www.mouser.com/ProductDetail/Micro-Commercial-Components-MCC/MMBT2222A-TP?qs=KFo7JewZbUE%252BJc5W0eD55w%3D%3D,2,$0.10,$0.20,,
DMN3404L-7 ,N channel FET,https://www.mouser.com/ProductDetail/Diodes-Incorporated/DMN3404L-7?qs=oUsD4qhOtFw9qrJFkpbwKg%3D%3D,6,$0.24,$1.44,,
MMC5983MA ,Magnetometer,https://www.mouser.com/ProductDetail/MEMSIC/MMC5983MA?qs=B6kkDfuK7%2FD5qasHMdEt2g%3D%3D,1,$2.79,$2.79,,
H3LIS331DLTR ,High G Accelerometer,https://www.mouser.com/ProductDetail/STMicroelectronics/H3LIS331DLTR?qs=TAo1I7FhABsAZFqkqNUSRA%3D%3D,1,$10.24,$10.24,,
MAX-M10S-00B ,GPS module,https://www.mouser.com/ProductDetail/u-blox/MAX-M10S-00B?qs=A6eO%252BMLsxmT0PfQYPb7LLQ%3D%3D,1,$21.00,$21.00,,
PS1240P02BT,Piezo,https://www.mouser.com/ProductDetail/TDK/PS1240P02BT?qs=d7g9p1yFhWaZXSY9MjKMkw%3D%3D,1,$0.62,$0.62,,
BLM15AX102SN1D,Ferrite bead,https://www.mouser.com/ProductDetail/Murata-Electronics/BLM15AX102SN1D?qs=MY6wChARw2zFsmOR09MDxg%3D%3D,3,$0.10,$0.30,,
U.FL-R-SMT-1(10),U.FL Connector,https://www.mouser.com/ProductDetail/Hirose-Connector/U.FL-R-SMT-110?qs=kL1ClTr6oBoOdtqlGQpQrQ%3D%3D,2,$1.20,$2.40,Old cheaper one got discontinued,
LR2021IMLTRT,Radio chip,https://www.mouser.com/ProductDetail/Semtech/LR2021IMLTRT?qs=%252BXxaIXUDbq3htoSoNLU46Q%3D%3D,1,$11.57,$11.57,,
ICM-45686 ,IMU,https://www.mouser.com/ProductDetail/TDK-InvenSense/ICM-45686?qs=vvQtp7zwQdPk96IFOwypvQ%3D%3D,2,$8.50,$17.00,,
BMP581,Barometric Pressure Sensor,https://www.mouser.com/ProductDetail/Bosch-Sensortec/BMP581?qs=Li%252BoUPsLEntPL9tlFmcgXg%3D%3D,1,$2.98,$2.98,,
ECS-TXO-25CSMV-320-AM-TR ,32mhz TXCO,https://www.mouser.com/ProductDetail/ECS/ECS-TXO-25CSMV-320-AM-TR?qs=wnTfsH77Xs7GjCu67eLygA%3D%3D,1,$2.84,$2.84,,
MPM3610AGQV-Z ,Buck converter,https://www.mouser.com/ProductDetail/Monolithic-Power-Systems-MPS/MPM3610AGQV-Z?qs=ZNK0BnemlqFKL2BkndmY4g%3D%3D,1,$2.42,$2.42,,
MAMK2520H2R2M,2.2uH 2.2A Inductor,https://www.mouser.com/ProductDetail/TAIYO-YUDEN/MAMK2520H2R2M?qs=4JX4e57RtWy63Hw12ZxQ0w%3D%3D,1,$0.15,$0.15,,
GRM155R71H104KE14D ,100nF 0402 cap,https://www.mouser.com/ProductDetail/Murata-Electronics/GRM155R71H104KE14D?qs=sGAEpiMZZMvsSlwiRhF8qkiosXznb836lYH0b0rR9OM%3D,24,$0.02,$0.41,,
