Designator,Footprint,Quantity,Value,LCSC Part #
ARM1,TBC05021GG,1,Arm,
BAT1,TBC05021GG,1,battery,
"BOOT1, BOOT2, RST1, RST2",PinHeader_1x02_P2.54mm_Vertical,4,Conn_01x02,
"C1, C2",0603,2,22uF,
"C10, C11, C12, C15, C17, C29, C32, C33, C4, C41, C42, C43, C47, C49, C5, C53, C54, C55, C56, C57, C6, C7, C8, C9",0402,24,100nF,
"C13, C16, C3, C34, C40, C48, C52",0603,7,10uF,
"C14, C27, C28, C39, C46, C58",0603,6,1uF,
"C18, C30, C44, C45",0603,4,2.2uF,
C19,0402,1,47pF,
C20,0402,1,7.5pF,
C21,0402,1,3.9pF,
"C22, C24",0402,2,1.8pF,
C23,0402,1,22pF,
C25,0402,1,2.2pF,
C26,0402,1,18pF,
C31,0603,1,4.7uF,
"C35, C38",0402,2,8pF,
"C36, C37, C50, C51",0402,4,9pF,
C59,0402,1,10nF,
CAM1,TBC05021GG,1,Screw_Terminal_01x02,
D1,D_SOD-123,1,D_Schottky,
DEBUG1,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Top_Bottom,
"FB1, FB2, FB3",NFZ15SG152SN10B,3,BLM15AX102SN1D,
IC1,MPM3606GQVZ,1,MPM3610GQV-Z,
"IC2, IC7",TO228P990X238-3N,2,IRFR9014PBF,
"IC3, IC4",ICM42670P,2,ICM-45686,
IC5,MMC5983MA,1,MMC5983MA,
IC6,SOIC127P600X175-8N,1,AT25SF041B-SSHB-B,
"J1, J2",USB_C_Receptacle_GCT_USB4085,2,USB_C_Receptacle_USB2.0_16P,
J10,microSD_HC_Molex_104031-0811,1,Micro_SD_Card_Det2,
"J3, J5",U.FL_Hirose_U.FL-R-SMT-1_Vertical,2,Conn_Coaxial,
L1,0603,1,12nH,
L2,0402,1,22nH,
L3,0402,1,4.7nH,
L4,0402,1,3.9nH,
L5,0402,1,7.5nH,
L6,0402,1,24nH,
L7,0603,1,2.2uH,
L8,INDC2520X120N,1,"2.2 uH, 1.5A",
L9,0402,1,27nH,
LR1,LR2021,1,~,
LS1,PS1240P02BT,1,PS1240P02BT,
"PYRO1, PYRO2",TBC05061GG,2,Screw_Terminal_01x06,
"Q1, Q3, Q4, Q5, Q6, Q7",SOT-23,6,DMN3404L,
"Q2, Q8, Q9",SOT-23,3,MMBT2222A,
"R1, R2, R3, R4",0402,4,5.1K,
"R10, R11, R12, R9",0402,4,2.7k,
"R13, R16, R19, R20, R21, R22, R23, R26, R27, R34, R36, R39",0402,12,1k,
"R14, R29",0402,2,12k,
"R15, R30",0402,2,3k,
"R17, R24, R25, R28, R31, R32, R33, R35, R37, R38, R40, R42, R43, R44, R45",0402,15,10k,
"R18, R32_2, R8",0402,3,100k,
R41,0603,1,10,
R5,0402,1,75k,
R6,0402,1,24k,
R7,0402,1,39k,
SERVO1,TBC05041GG,1,Conn_01x04,
U1,BMP581,1,BMP581,
U3,ublox_MAX,1,MAX-M10S,
U4,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32U585CIUxQ,
U5,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32U073CCUx,
Y1,ECSTXO25CSMV320AMTR,1,ECS-TXO-25CSMV-320-AM-TR,
Y2,ECS160836B2CKMTR,1,ECS-160-8-36B2-CKM-TR,
"Y3, Y4",CM7V32768TBQA020,2,CM7V-T1A-32.768KHZ,
