Designator,Mid X,Mid Y,Rotation,Layer
ARM1,146.5,-116.27,270.0,top
BAT1,146.5,-95.57,270.0,top
BOOT1,105.73,-87.0,90.0,top
BOOT2,126.0,-94.73,0.0,top
C1,148.5,-95.525,270.0,bottom
C10,124.12,-122.6,0.0,top
C11,126.08,-122.6,180.0,top
C12,122.2,-124.0,270.0,top
C13,121.625,-122.2,0.0,top
C14,126.175,-115.2,180.0,top
C15,123.32,-115.6,0.0,top
C16,124.75,-119.225,90.0,bottom
C17,128.48,-119.6,180.0,top
C18,119.975,-152.8,180.0,top
C19,117.8,-153.18,270.0,top
C2,141.8,-86.225,90.0,top
C20,113.52,-159.1,0.0,top
C21,113.52,-161.9,0.0,top
C22,113.52,-164.7,0.0,top
C23,114.0,-157.68,270.0,top
C24,113.0,-160.52,270.0,top
C25,116.28,-156.53,0.0,top
C26,115.8,-157.91,270.0,top
C27,110.225,-152.55,180.0,top
C28,117.2,-145.225,270.0,top
C29,110.82,-148.65,180.0,top
C3,145.025,-91.6,0.0,bottom
C30,115.7,-145.225,270.0,top
C31,110.275,-147.45,180.0,top
C32,131.7,-151.12,270.0,top
C33,132.8,-151.12,90.0,top
C34,134.0,-150.575,90.0,top
C35,109.260589,-106.739411,225.0,top
C36,109.760589,-97.960589,135.0,top
C37,108.060589,-96.260589,135.0,top
C38,105.060589,-102.539411,45.0,top
C39,108.8,-93.425,90.0,top
C4,125.12,-106.6,180.0,bottom
C40,118.4,-87.825,270.0,top
C41,117.060589,-89.460589,315.0,top
C42,121.4,-94.22,270.0,top
C43,110.0,-93.22,90.0,top
C44,122.6,-94.125,90.0,top
C45,110.351992,-91.151992,135.0,top
C46,112.651992,-99.851992,135.0,top
C47,113.260589,-98.660589,135.0,top
C48,120.6,-97.625,270.0,bottom
C49,119.4,-97.52,270.0,bottom
C5,125.08,-105.6,0.0,bottom
C50,136.460589,-100.739411,225.0,top
C51,139.260589,-104.739411,45.0,top
C52,132.825,-101.2,180.0,top
C53,133.060589,-99.460589,135.0,top
C54,135.939411,-89.139411,135.0,top
C55,134.8,-100.6,90.0,top
C56,138.460589,-96.939411,45.0,top
C57,129.339411,-93.060589,45.0,top
C58,139.451992,-97.748008,225.0,top
C59,136.68,-166.3,0.0,top
C6,121.4,-112.72,90.0,bottom
C7,123.8,-111.88,90.0,bottom
C8,127.4,-112.12,90.0,bottom
C9,128.6,-112.12,90.0,bottom
CAM1,103.5,-136.27,90.0,top
D1,137.0,-84.45,90.0,top
DEBUG1,125.0,-85.77,90.0,top
FB1,121.8,-81.4,270.0,top
FB2,128.2,-81.4,270.0,top
FB3,135.4,-114.2,90.0,bottom
IC1,146.9,-88.55,180.0,top
IC2,146.0,-105.4,270.0,top
IC3,122.0,-112.25,0.0,top
IC4,128.0,-112.25,0.0,top
IC5,125.0,-118.925,0.0,top
IC6,134.538,-86.155,0.0,bottom
IC7,111.5,-131.95,270.0,top
J1,115.675,-78.595,180.0,top
J10,140.0,-106.0,90.0,bottom
J2,134.325,-78.595,180.0,top
J3,131.7,-171.05,270.0,top
J5,115.0,-171.05,270.0,top
L1,113.2125,-154.1,0.0,top
L2,113.515,-165.7,0.0,top
L3,114.0,-155.785,270.0,top
L4,114.0,-160.515,270.0,top
L5,114.0,-163.285,270.0,top
L6,115.8,-155.115,270.0,top
L7,113.4125,-146.0,180.0,top
L8,120.922183,-97.477817,225.0,top
L9,132.2,-166.3,0.0,top
LR1,115.0,-150.0,180.0,top
LS1,125.0,-135.0,90.0,top
PYRO1,146.5,-128.85,270.0,top
PYRO2,146.5,-144.85,270.0,top
Q1,140.2625,-124.8,180.0,top
Q2,138.6625,-107.55,0.0,top
Q3,140.2625,-130.0,180.0,top
Q4,140.0625,-135.0,180.0,top
Q5,140.2625,-140.5,180.0,top
Q6,140.2625,-145.2,180.0,top
Q7,140.1375,-150.15,180.0,top
Q8,133.3375,-133.95,180.0,top
Q9,115.0625,-124.0,180.0,top
R1,117.51,-82.6,0.0,top
R10,121.89,-125.8,180.0,top
R11,121.0,-108.69,90.0,top
R12,122.0,-108.69,90.0,top
R13,138.31,-122.8,180.0,top
R14,141.29,-118.4,0.0,top
R15,139.29,-118.4,0.0,top
R16,137.71,-109.8,180.0,top
R17,148.5,-98.31,90.0,bottom
R18,141.6,-116.89,270.0,top
R19,138.31,-128.0,180.0,top
R2,114.4,-83.11,270.0,top
R20,138.11,-133.0,180.0,top
R21,138.31,-138.4,180.0,top
R22,138.31,-143.2,180.0,top
R23,138.29,-148.0,180.0,top
R24,101.51,-88.4,0.0,top
R25,107.49,-90.4,0.0,top
R26,109.960624,-103.039376,45.0,top
R27,111.139376,-97.260624,45.0,top
R28,116.29,-87.0,0.0,top
R29,140.639376,-91.639376,225.0,bottom
R3,135.2,-83.11,270.0,top
R30,139.239375,-90.239375,225.0,bottom
R31,123.6,-98.29,90.0,top
R32_2,143.0,-111.8,180.0,top
R32,142.8,-97.71,90.0,bottom
R33,130.09,-97.6,0.0,top
R34,136.960624,-99.160624,135.0,top
R35,128.6,-97.29,90.0,top
R36,132.4,-131.31,270.0,top
R37,139.31,-84.2,180.0,bottom
R38,138.2,-113.91,270.0,bottom
R39,114.2,-121.11,90.0,top
R4,133.0,-83.09,270.0,top
R40,111.49,-125.5,180.0,top
R41,135.0,-165.425,270.0,top
R42,139.2,-113.91,270.0,bottom
R43,140.2,-113.91,270.0,bottom
R44,141.2,-113.91,270.0,bottom
R45,142.2,-113.91,270.0,bottom
R5,148.35,-89.51,90.0,bottom
R6,148.35,-87.49,90.0,bottom
R7,147.0,-90.91,270.0,bottom
R8,147.49,-91.35,180.0,top
R9,123.31,-128.2,180.0,top
RST1,112.27,-87.0,90.0,top
RST2,127.27,-100.0,90.0,top
SERVO1,103.5,-116.27,90.0,top
U1,125.0,-106.275,0.0,top
U3,135.0,-158.0,270.0,top
U4,115.624777,-94.513864,135.0,top
U5,134.513864,-94.375223,225.0,top
Y1,120.725,-149.675,270.0,top
Y2,107.141421,-104.66066,315.0,top
Y3,107.516117,-99.116117,315.0,top
Y4,138.116117,-102.483883,45.0,top
